Time,PT,DS,FBUOY,FLS
5.12,0,0,0,0
5.16,0,0,0,1
5.20,0,0,0,1
5.24,0,0,0,1
5.28,0,0,0,1
5.32,0,0,0,1
5.36,0,0,0,1
5.40,0,0,0,1
5.44,0,0,0,1
5.48,0,0,0,1
5.52,0,0,0,1
5.56,0,0,0,1
5.60,0,0,0,1
5.64,0,0,0,1
5.68,0,0,0,1
5.72,0,0,0,1
5.76,0,0,0,1
5.80,0,0,0,1
5.84,0,0,0,1
5.88,0,0,0,1
5.92,0,0,0,1
5.96,0,0,0,1
6.00,0,0,0,1
6.04,0,0,0,1
6.08,0,0,0,1
6.12,0,0,0,1
6.16,0,0,0,1
6.20,0,0,0,1
6.24,0,0,0,1
6.28,0,0,0,1
6.32,0,0,0,1
6.36,0,0,0,1
6.40,0,0,0,1
6.44,0,0,0,1
6.48,0,0,0,1
6.52,0,0,0,1
6.56,0,0,0,1
6.60,0,0,0,1
6.64,0,0,0,1
6.68,0,0,0,1
6.72,0,0,0,1
6.76,0,0,0,1
6.80,0,0,0,1
6.84,0,0,0,1
6.88,0,0,0,1
6.92,0,0,0,1
6.96,0,0,0,1
7.00,0,0,0,1
7.04,0,0,0,1
7.08,0,0,0,1
7.12,0,0,0,1
7.16,0,0,0,1
7.20,0,0,0,1
7.24,0,0,0,1
7.28,0,0,0,1
7.32,0,0,0,1
7.36,0,0,0,1
7.40,0,0,0,1
7.44,0,0,0,1
7.48,0,0,0,1
7.52,0,0,0,1
7.56,0,0,0,1
7.60,0,0,0,1
7.64,0,0,0,1
7.68,0,0,0,1
7.72,0,0,0,1
7.76,0,0,0,1
7.80,0,0,0,1
7.84,0,0,0,1
7.88,0,0,0,1
7.92,0,0,0,1
7.96,0,0,0,1
8.00,0,0,0,1
8.04,0,0,0,1
8.08,0,0,0,1
8.12,0,0,0,1
8.16,0,0,0,1
8.20,0,0,0,1
8.24,0,0,0,1
8.28,0,0,0,1
8.32,0,0,0,1
8.36,0,0,0,1
8.40,0,0,0,1
8.44,0,0,0,1
8.48,0,0,0,1
8.52,0,0,0,1
8.56,0,0,0,1
8.60,0,0,0,0
8.64,0,0,0,1
8.68,0,0,0,1
8.72,0,0,0,1
8.76,0,0,0,1
8.80,0,0,0,1
8.84,0,0,0,1
8.88,0,0,0,1
8.92,0,0,0,1
8.96,0,0,0,1
9.00,0,0,0,1
9.04,0,0,0,1
9.08,0,0,0,1
9.12,0,0,0,1
9.16,0,0,0,1
9.20,1,0,0,0
9.24,1,0,0,0
9.28,1,0,0,0
9.32,1,0,0,0
9.36,1,0,0,0
9.40,1,0,0,0
9.44,1,0,0,0
9.48,1,0,0,0
9.52,1,0,0,0
9.56,0,0,0,1
9.60,0,0,0,1
9.64,0,0,0,1
9.68,0,0,0,1
9.72,0,0,0,1
9.76,0,0,0,1
9.80,0,0,0,1
9.84,0,0,0,1
9.88,0,0,0,1
9.92,1,0,0,0
9.96,1,0,0,0
10.00,1,0,0,0
10.04,1,0,0,0
10.08,1,0,0,0
10.12,0,0,0,1
10.16,0,0,0,1
10.20,0,0,0,1
10.24,0,0,0,1
10.28,0,0,0,1
10.32,0,0,0,1
10.36,0,0,0,1
10.40,0,0,0,1
10.44,0,0,0,1
10.48,0,0,0,1
10.52,0,0,0,1
10.56,0,0,0,1
10.60,0,0,0,1
10.64,0,0,0,1
10.68,0,0,0,1
10.72,0,0,0,1
10.76,0,0,0,1
10.80,0,0,0,1
10.84,0,0,0,1
10.88,0,0,0,1
10.92,0,0,0,1
10.96,0,0,0,1
11.00,0,0,0,1
11.04,0,0,0,1
11.08,0,0,0,1
11.12,0,0,0,1
11.16,0,0,0,1
11.20,0,0,0,1
11.24,0,0,0,1
11.28,0,0,0,1
11.32,0,0,0,1
11.36,0,0,0,1
11.40,0,0,0,1
11.44,0,0,0,1
11.48,0,0,0,1
11.52,0,0,0,1
11.56,0,0,0,1
11.60,0,0,0,1
11.64,0,0,0,1
11.68,0,0,0,1
11.72,0,0,0,1
11.76,0,0,0,1
11.80,0,0,0,1
11.84,0,0,0,1
11.88,0,0,0,1
11.92,0,0,0,1
11.96,0,0,0,1
12.00,0,0,0,1
12.04,0,0,0,1
12.08,0,0,0,1
12.12,0,0,0,1
12.16,1,0,0,0
12.20,1,0,0,0
12.24,1,0,0,0
12.28,1,0,0,0
12.32,1,0,0,0
12.36,1,0,0,0
12.40,1,0,0,0
12.44,1,0,0,0
12.48,0,0,0,1
12.52,0,0,0,1
12.56,0,0,0,1
12.60,0,0,0,1
12.64,0,0,0,1
12.68,0,0,0,1
12.72,0,0,0,1
12.76,0,0,0,1
12.80,0,0,0,1
12.84,0,0,0,1
12.88,0,0,0,1
12.92,0,0,0,1
12.96,0,0,0,1
13.00,0,0,0,1
13.04,0,0,0,1
13.08,0,0,0,1
13.12,0,0,0,1
13.16,0,0,0,1
13.20,0,0,0,1
13.24,0,0,0,1
13.28,0,0,0,1
13.32,0,0,0,1
13.36,0,0,0,1
13.40,0,0,0,1
13.44,0,0,0,1
13.48,0,0,0,1
13.52,0,0,0,0
13.56,0,0,0,1
13.60,0,0,0,1
13.64,0,0,0,1
13.68,0,0,0,1
13.72,0,0,0,1
13.76,0,0,0,0
13.80,0,0,0,1
13.84,0,0,0,1
13.88,0,0,0,1
13.92,0,0,0,1
13.96,1,0,0,0
14.00,1,0,0,0
14.04,1,0,0,0
14.08,1,0,0,0
14.12,1,0,0,0
14.16,1,0,0,0
14.20,0,0,0,0
14.24,0,0,0,1
14.28,0,0,0,1
14.32,0,0,0,1
14.36,0,0,0,1
14.40,0,0,0,1
14.44,0,0,0,1
14.48,0,0,0,1
14.52,0,0,0,1
14.56,0,0,0,1
14.60,0,0,0,1
14.64,0,0,0,1
14.68,0,0,0,1
14.72,0,0,0,1
14.76,0,0,0,1
14.80,0,0,0,1
14.84,0,0,0,1
14.88,0,0,0,1
14.92,0,0,0,1
14.96,0,0,0,1
15.00,0,0,0,1
15.04,0,0,0,1
15.08,0,0,0,1
15.12,0,0,0,1
15.16,0,0,0,1
15.20,0,0,0,1
15.24,0,0,0,1
15.28,0,0,0,1
15.32,0,0,0,1
15.36,0,0,0,1
15.40,0,0,0,1
15.44,0,0,0,1
15.48,0,0,0,1
15.52,0,0,0,1
15.56,0,0,0,1
15.60,0,0,0,1
15.64,0,0,0,1
15.68,0,0,0,1
15.72,0,0,0,1
15.76,0,0,0,1
15.80,0,0,0,1
15.84,0,0,0,1
15.88,0,0,0,1
15.92,0,0,0,1
15.96,0,0,0,1
16.00,0,0,0,1
16.04,0,0,0,1
16.08,0,0,0,1
16.12,0,0,0,1
16.16,0,0,0,1
16.20,0,0,0,0
16.24,0,0,0,1
16.28,0,0,0,1
16.32,0,0,0,1
16.36,0,0,0,1
16.40,0,0,0,1
16.44,0,0,0,1
16.48,0,0,0,1
16.52,0,0,0,1
16.56,0,0,0,1
16.60,0,0,0,1
16.64,0,0,0,1
16.68,0,0,0,1
16.72,0,0,0,1
16.76,0,0,0,1
16.80,0,0,0,1
16.84,0,0,0,1
16.88,0,0,0,1
16.92,0,0,0,0
16.96,0,0,0,1
17.00,0,0,0,1
17.04,0,0,0,1
17.08,0,0,0,1
17.12,0,0,0,1
17.16,0,0,0,1
17.20,0,0,0,1
17.24,0,0,0,1
17.28,0,0,0,1
17.32,0,0,0,1
17.36,0,0,0,1
17.40,0,0,0,1
17.44,0,0,0,1
17.48,0,0,0,1
17.52,0,0,0,1
17.56,0,0,0,1
17.60,0,0,0,1
17.64,0,0,0,1
17.68,0,0,0,1
17.72,1,0,0,0
17.76,1,0,0,0
17.80,1,0,0,0
17.84,1,0,0,0
17.88,0,0,0,1
17.92,0,0,0,1
17.96,0,0,0,1
18.00,0,0,0,1
18.04,0,0,0,1
18.08,0,0,0,1
18.12,0,0,0,1
18.16,0,0,0,1
18.20,0,0,0,1
18.24,0,0,0,1
18.28,0,0,0,1
18.32,0,0,0,1
18.36,0,0,0,1
18.40,0,0,0,1
18.44,0,0,0,1
18.48,0,0,0,1
18.52,0,0,0,1
18.56,0,0,0,1
18.60,0,0,0,1
18.64,0,0,0,1
18.68,0,0,0,1
18.72,0,0,0,1
18.76,0,0,0,1
18.80,0,0,0,1
18.84,0,0,0,1
18.88,0,0,0,1
18.92,0,0,0,1
18.96,0,0,0,1
19.00,0,0,0,1
19.04,0,0,0,1
19.08,0,0,0,1
19.12,0,0,0,1
19.16,0,0,0,0
19.20,0,0,0,1
19.24,0,0,0,1
19.28,0,0,0,1
19.32,0,0,0,1
19.36,0,0,0,1
19.40,0,0,0,1
19.44,0,0,0,1
19.48,0,0,0,1
19.52,0,0,0,1
19.56,0,0,0,1
19.60,0,0,0,1
19.64,0,0,0,1
19.68,0,0,0,1
19.72,0,0,0,1
19.76,0,0,0,1
19.80,1,0,0,0
19.84,1,0,0,0
19.88,1,0,0,0
19.92,1,0,0,0
19.96,1,0,0,0
20.00,0,0,0,0
20.04,0,0,0,1
20.08,0,0,0,1
20.12,0,0,0,1
20.16,0,0,0,1
20.20,0,0,0,1
20.24,0,0,0,1
20.28,0,0,0,1
20.32,0,0,0,1
20.36,0,0,0,1
20.40,0,0,0,1
20.44,0,0,0,1
20.48,0,0,0,1
20.52,0,0,0,1
20.56,0,0,0,1
20.60,0,0,0,1
20.64,0,0,0,1
20.68,0,0,0,1
20.72,0,0,0,0
20.76,0,0,0,1
20.80,0,0,0,1
20.84,0,0,0,1
20.88,0,0,0,1
20.92,0,0,0,1
20.96,0,0,0,1
21.00,0,0,0,1
21.04,0,0,0,1
21.08,0,0,0,1
21.12,0,0,0,1
21.16,0,0,0,1
21.20,0,0,0,1
21.24,0,0,0,1
21.28,0,0,0,1
21.32,0,0,0,1
21.36,0,0,0,1
21.40,0,0,0,1
21.44,0,0,0,1
21.48,0,0,0,1
21.52,0,0,0,1
21.56,0,0,0,1
21.60,0,0,0,1
21.64,0,0,0,1
21.68,0,0,0,1
21.72,0,0,0,1
21.76,0,0,0,1
21.80,0,0,0,1
21.84,0,0,0,1
21.88,0,0,0,1
21.92,0,0,0,1
21.96,0,0,0,1
22.00,0,0,0,1
22.04,0,0,0,1
22.08,0,0,0,1
22.12,0,0,0,0
22.16,0,0,0,1
22.20,0,0,0,1
22.24,0,0,0,1
22.28,0,0,0,1
22.32,0,0,0,1
22.36,0,0,0,1
22.40,0,0,0,1
22.44,0,0,0,1
22.48,0,0,0,1
22.52,0,0,0,1
22.56,0,0,0,1
22.60,0,0,0,1
22.64,0,0,0,0
22.68,0,0,0,1
22.72,0,0,0,1
22.76,0,0,0,1
22.80,0,0,0,1
22.84,0,0,0,1
22.88,0,0,0,1
22.92,0,0,0,1
22.96,0,0,0,1
23.00,0,0,0,1
23.04,0,0,0,1
23.08,0,0,0,1
23.12,0,0,0,1
23.16,0,0,0,1
23.20,0,0,0,1
23.24,0,0,0,1
23.28,0,0,0,1
23.32,0,0,0,1
23.36,0,0,0,1
23.40,0,0,0,1
23.44,0,0,0,1
23.48,0,0,0,1
23.52,0,0,0,1
23.56,0,0,0,1
23.60,0,0,0,1
23.64,0,0,0,1
23.68,0,0,0,1
23.72,0,0,0,1
23.76,0,0,0,1
23.80,0,0,0,0
23.84,1,0,0,0
23.88,1,0,0,0
23.92,1,0,0,0
23.96,1,0,0,0
24.00,1,0,0,0
24.04,1,0,0,0
24.08,1,0,0,0
24.12,1,0,0,0
24.16,0,0,0,1
24.20,0,0,0,1
24.24,0,0,0,1
24.28,0,0,0,1
24.32,0,0,0,1
24.36,0,0,0,1
24.40,0,0,0,1
24.44,0,0,0,1
24.48,0,0,0,1
24.52,0,0,0,1
24.56,0,0,0,1
24.60,0,0,0,1
24.64,0,0,0,1
24.68,0,0,0,1
24.72,0,0,0,0
24.76,0,0,0,1
24.80,0,0,0,1
24.84,0,0,0,1
24.88,0,0,0,1
24.92,0,0,0,1
24.96,0,0,0,1
25.00,0,0,0,1
25.04,0,0,0,1
25.08,0,0,0,1
25.12,0,0,0,1
25.16,0,0,0,1
25.20,0,0,0,1
25.24,0,0,0,1
25.28,0,0,0,1
25.32,0,0,0,1
25.36,0,0,0,1
25.40,1,0,0,0
25.44,1,0,0,0
25.48,1,0,0,0
25.52,1,0,0,0
25.56,1,0,0,0
25.60,1,0,0,0
25.64,1,0,0,0
25.68,0,0,0,1
25.72,0,0,0,1
25.76,0,0,0,1
25.80,0,0,0,1
25.84,0,0,0,1
25.88,0,0,0,1
25.92,0,0,0,1
25.96,0,0,0,1
26.00,0,0,0,1
26.04,0,0,0,1
26.08,0,0,0,1
26.12,0,0,0,1
26.16,0,0,0,1
26.20,0,0,0,1
26.24,0,0,0,1
26.28,0,0,0,1
26.32,0,0,0,1
26.36,0,0,0,1
26.40,0,0,0,1
26.44,0,0,0,1
26.48,0,0,0,1
26.52,0,0,0,1
26.56,0,0,0,1
26.60,0,0,0,1
26.64,0,0,0,1
26.68,0,0,0,1
26.72,0,0,0,1
26.76,0,0,0,1
26.80,0,0,0,1
26.84,0,0,0,1
26.88,0,0,0,1
26.92,0,0,0,1
26.96,0,0,0,1
27.00,0,0,0,1
27.04,0,0,0,1
27.08,0,0,0,1
27.12,0,0,0,1
27.16,0,0,0,1
27.20,0,0,0,1
27.24,0,0,0,1
27.28,0,0,0,1
27.32,0,0,0,1
27.36,0,0,0,1
27.40,0,0,0,1
27.44,0,0,0,1
27.48,0,0,0,1
27.52,0,0,0,1
27.56,0,0,0,1
27.60,0,0,0,1
27.64,0,0,0,1
27.68,0,0,0,1
27.72,0,0,0,1
27.76,0,0,0,1
27.80,0,0,0,1
27.84,0,0,0,1
27.88,0,0,0,1
27.92,0,0,0,1
27.96,0,0,0,1
28.00,0,0,0,1
28.04,0,0,0,0
28.08,0,0,0,1
28.12,0,0,0,1
28.16,0,0,0,1
28.20,0,0,0,1
28.24,0,0,0,1
28.28,0,0,0,1
28.32,0,0,0,1
28.36,0,0,0,1
28.40,0,0,0,1
28.44,0,0,0,1
28.48,0,0,0,1
28.52,0,0,0,1
28.56,0,0,0,1
28.60,0,0,0,1
28.64,0,0,0,1
28.68,0,0,0,1
28.72,0,0,0,1
28.76,0,0,0,1
28.80,0,0,0,1
28.84,0,0,0,1
28.88,0,0,0,1
28.92,0,0,0,1
28.96,0,0,0,1
29.00,0,0,0,1
29.04,0,0,0,1
29.08,0,0,0,1
29.12,0,0,0,1
29.16,0,0,0,1
29.20,0,0,0,1
29.24,0,0,0,1
29.28,0,0,0,1
29.32,0,0,0,1
29.36,0,0,0,1
29.40,0,0,0,1
29.44,0,0,0,1
29.48,0,0,0,1
29.52,0,0,0,1
29.56,0,0,0,1
29.60,0,0,0,1
29.64,0,0,0,1
29.68,0,0,0,1
29.72,0,0,0,1
29.76,0,0,0,1
29.80,0,0,0,1
29.84,0,0,0,0
29.88,0,0,0,1
29.92,0,0,0,1
29.96,0,0,0,1
30.00,0,0,0,1
30.04,0,0,0,1
30.08,0,0,0,1
30.12,0,0,0,1
30.16,0,0,0,1
30.20,0,0,0,1
30.24,0,0,0,1
30.28,0,0,0,0
30.32,0,0,0,1
30.36,0,0,0,1
30.40,0,0,0,1
30.44,0,0,0,1
30.48,0,0,0,1
30.52,0,0,0,1
30.56,0,0,0,1
30.60,0,0,0,1
30.64,0,0,0,1
30.68,0,0,0,1
30.72,0,0,0,1
30.76,0,0,0,1
30.80,0,0,0,1
30.84,0,0,0,1
30.88,0,0,0,1
30.92,0,0,0,1
30.96,0,0,0,1
31.00,0,0,0,1
31.04,0,0,0,1
31.08,0,0,0,1
31.12,0,0,0,1
31.16,0,0,0,1
31.20,0,0,0,1
31.24,0,0,0,1
31.28,0,0,0,1
31.32,0,0,0,1
31.36,0,0,0,1
31.40,0,0,0,1
31.44,0,0,0,1
31.48,0,0,0,1
31.52,0,0,0,1
31.56,0,0,0,1
31.60,0,0,0,1
31.64,0,0,0,1
31.68,0,0,0,0
31.72,0,0,0,1
31.76,0,0,0,1
31.80,0,0,0,1
31.84,0,0,0,1
31.88,0,0,0,1
31.92,0,0,0,1
31.96,0,0,0,1
32.00,0,0,0,1
32.04,0,0,0,1
32.08,0,0,0,1
32.12,0,0,0,1
32.16,0,0,0,1
32.20,0,0,0,1
32.24,0,0,0,1
32.28,0,0,0,1
32.32,0,0,0,1
32.36,0,0,0,1
32.40,0,0,0,1
32.44,0,0,0,1
32.48,0,0,0,1
32.52,0,0,0,1
32.56,0,0,0,1
32.60,0,0,0,1
32.64,0,0,0,1
32.68,0,0,0,0
32.72,1,0,0,0
32.76,1,0,0,0
32.80,1,0,0,0
32.84,1,0,0,0
32.88,1,0,0,0
32.92,1,0,0,0
32.96,1,0,0,0
33.00,1,0,0,0
33.04,1,0,0,0
33.08,0,0,0,1
33.12,0,0,0,1
33.16,0,0,0,1
33.20,0,0,0,1
33.24,0,0,0,1
33.28,0,0,0,1
33.32,0,0,0,1
33.36,0,0,0,1
33.40,0,0,0,1
33.44,0,0,0,1
33.48,0,0,0,1
33.52,0,0,0,1
33.56,0,0,0,1
33.60,0,0,0,1
33.64,0,0,0,1
33.68,0,0,0,1
33.72,0,0,0,1
33.76,0,0,0,1
33.80,0,0,0,1
33.84,0,0,0,1
33.88,0,0,0,1
33.92,0,0,0,1
33.96,0,0,0,1
34.00,0,0,0,1
34.04,0,0,0,1
34.08,0,0,0,1
34.12,0,0,0,1
34.16,0,0,0,1
34.20,0,0,0,1
34.24,0,0,0,1
34.28,0,0,0,1
34.32,0,0,0,1
34.36,1,0,0,0
34.40,1,0,0,0
34.44,1,0,0,0
34.48,1,0,0,0
34.52,1,0,0,0
34.56,1,0,0,0
34.60,1,0,0,0
34.64,1,0,0,0
34.68,1,0,0,0
34.72,1,0,0,0
34.76,0,1,0,0
34.80,0,1,0,0
34.84,0,1,0,0
34.88,0,1,0,0
34.92,0,1,0,0
34.96,0,1,0,0
35.00,0,1,0,0
35.04,0,1,0,0
35.08,0,1,0,0
35.12,0,1,0,0
35.16,0,1,0,0
35.20,0,1,0,0
35.24,0,1,0,0
35.28,0,1,0,0
35.32,0,1,0,0
35.36,0,1,0,0
35.40,0,1,0,0
35.44,0,1,0,0
35.48,0,1,0,0
35.52,0,1,0,0
35.56,0,1,0,0
35.60,0,1,0,0
35.64,0,1,0,0
35.68,0,0,0,1
35.72,0,0,0,1
35.76,0,0,0,0
35.80,0,0,0,1
35.84,0,0,0,1
35.88,0,0,0,1
35.92,0,0,0,1
35.96,0,0,0,1
36.00,0,0,0,1
36.04,0,0,0,1
36.08,0,0,0,1
36.12,1,0,0,0
36.16,1,0,0,0
36.20,1,0,0,0
36.24,1,0,0,0
36.28,1,0,0,0
36.32,0,0,0,1
36.36,0,0,0,1
36.40,0,0,0,1
36.44,0,0,0,1
36.48,0,0,0,1
36.52,0,0,0,1
36.56,0,0,0,1
36.60,0,0,0,1
36.64,0,0,0,0
36.68,0,0,0,1
36.72,0,0,0,1
36.76,0,0,0,1
36.80,0,0,0,1
36.84,0,0,0,1
36.88,0,0,0,1
36.92,0,0,0,1
36.96,0,0,0,1
37.00,0,1,0,0
37.04,0,1,0,0
37.08,0,1,0,0
37.12,0,1,0,0
37.16,0,1,0,0
37.20,0,1,0,0
37.24,0,1,0,0
37.28,0,1,0,0
37.32,0,1,0,0
37.36,0,1,0,0
37.40,0,1,0,0
37.44,0,1,0,0
37.48,0,1,0,0
37.52,0,1,0,0
37.56,0,1,0,0
37.60,0,1,0,0
37.64,0,1,0,0
37.68,0,1,0,0
37.72,0,1,0,0
37.76,0,1,0,0
37.80,0,1,0,0
37.84,0,1,0,0
37.88,0,1,0,0
37.92,0,0,0,1
37.96,0,0,0,1
38.00,0,0,0,1
38.04,0,0,0,1
38.08,0,0,0,1
38.12,0,0,0,1
38.16,0,0,0,1
38.20,0,0,0,1
38.24,0,0,0,1
38.28,0,0,0,1
38.32,0,0,0,1
38.36,0,0,0,1
38.40,0,0,0,1
38.44,0,1,0,0
38.48,0,1,0,0
38.52,0,1,0,0
38.56,0,1,0,0
38.60,0,1,0,0
38.64,0,1,0,0
38.68,0,1,0,0
38.72,0,1,0,0
38.76,0,1,0,0
38.80,0,1,0,0
38.84,0,1,0,0
38.88,0,1,0,0
38.92,0,1,0,0
38.96,0,1,0,0
39.00,0,1,0,0
39.04,0,0,0,1
39.08,0,0,0,1
39.12,0,0,0,1
39.16,0,0,0,1
39.20,0,0,0,1
39.24,0,0,0,1
39.28,0,0,0,1
39.32,0,0,0,1
39.36,0,0,0,1
39.40,0,0,0,1
39.44,0,0,0,0
39.48,0,0,0,1
39.52,0,0,0,1
39.56,0,0,0,1
39.60,0,0,0,1
39.64,0,0,0,1
39.68,0,0,0,1
39.72,0,0,0,1
39.76,0,0,0,1
39.80,0,0,0,1
39.84,0,0,0,1
39.88,0,0,0,1
39.92,0,0,0,1
39.96,0,0,0,1
40.00,0,0,0,1
40.04,0,0,0,1
40.08,0,0,0,1
40.12,0,0,0,1
40.16,0,0,0,1
40.20,0,0,0,1
40.24,0,0,0,1
40.28,0,0,0,1
40.32,0,0,0,1
40.36,0,0,0,1
40.40,0,0,0,1
40.44,0,0,0,1
40.48,0,0,0,1
40.52,0,0,0,1
40.56,1,0,0,0
40.60,1,0,0,0
40.64,1,0,0,0
40.68,1,0,0,0
40.72,1,0,0,0
40.76,1,0,0,0
40.80,1,0,0,0
40.84,1,0,0,0
40.88,1,0,0,0
40.92,1,0,0,0
40.96,1,0,0,0
41.00,0,0,0,1
41.04,0,0,0,1
41.08,0,0,0,1
41.12,0,0,0,1
41.16,0,0,0,1
41.20,0,0,0,1
41.24,0,0,0,1
41.28,0,0,0,1
41.32,0,0,0,1
41.36,0,0,0,1
41.40,0,0,0,1
41.44,0,0,0,1
41.48,0,0,0,1
41.52,0,0,0,1
41.56,0,0,0,1
41.60,0,0,0,1
41.64,0,0,0,1
41.68,0,0,0,1
41.72,0,0,0,1
41.76,0,0,0,1
41.80,0,0,0,1
41.84,0,0,0,1
41.88,0,0,0,1
41.92,0,0,0,1
41.96,0,0,0,1
42.00,0,0,0,1
42.04,0,0,0,1
42.08,0,0,0,1
42.12,0,0,0,1
42.16,0,0,0,1
42.20,0,0,0,1
42.24,0,0,0,1
42.28,0,0,0,1
42.32,0,0,0,1
42.36,0,0,0,1
42.40,0,0,0,1
42.44,0,0,0,1
42.48,0,0,0,1
42.52,0,0,0,1
42.56,0,0,0,1
42.60,0,0,0,1
42.64,0,0,0,1
42.68,0,0,0,1
42.72,0,0,0,1
42.76,0,0,0,1
42.80,0,0,0,1
42.84,0,0,0,1
42.88,0,0,0,1
42.92,0,0,0,1
42.96,0,0,0,1
43.00,0,0,0,1
43.04,0,0,0,1
43.08,0,0,0,1
43.12,0,0,0,1
43.16,0,0,0,1
43.20,0,0,0,1
43.24,0,0,0,1
43.28,0,0,0,1
43.32,0,0,0,1
43.36,0,0,0,1
43.40,0,0,0,1
43.44,0,0,0,1
43.48,0,0,0,1
43.52,0,0,0,1
43.56,0,0,0,1
43.60,0,0,0,1
43.64,0,0,0,1
43.68,0,0,0,1
43.72,0,0,0,1
43.76,0,0,0,1
43.80,0,0,0,1
43.84,0,0,0,1
43.88,0,0,0,1
43.92,0,0,0,1
43.96,0,0,0,1
44.00,0,0,0,1
44.04,0,0,0,1
44.08,0,0,0,1
44.12,0,0,0,1
44.16,0,0,0,1
44.20,0,0,0,1
44.24,0,0,0,1
44.28,0,0,0,1
44.32,0,0,0,1
44.36,0,0,0,1
44.40,0,0,0,1
44.44,0,0,0,1
44.48,0,0,0,1
44.52,0,0,0,1
44.56,0,0,0,1
44.60,0,0,0,1
44.64,0,0,0,1
44.68,0,0,0,1
44.72,0,0,0,1
44.76,0,0,0,1
44.80,0,0,0,1
44.84,0,0,0,1
44.88,0,0,0,1
44.92,0,0,0,1
44.96,0,0,0,0
45.00,0,0,0,1
45.04,0,0,0,1
45.08,0,0,0,1
45.12,0,0,0,1
45.16,0,0,0,1
45.20,0,0,0,1
45.24,0,0,0,1
45.28,0,0,0,1
45.32,0,0,0,1
45.36,0,0,0,1
45.40,0,0,0,1
45.44,0,0,0,1
45.48,0,0,0,1
45.52,0,0,0,1
45.56,0,0,0,1
45.60,0,0,0,1
45.64,0,0,0,1
45.68,0,0,0,1
45.72,0,0,0,1
45.76,0,0,0,1
45.80,0,0,0,1
45.84,0,0,0,1
45.88,0,0,0,0
45.92,0,0,0,1
45.96,0,0,0,1
46.00,0,0,0,1
46.04,0,0,0,1
46.08,0,0,0,1
46.12,0,0,0,1
46.16,0,0,0,1
46.20,0,0,0,1
46.24,0,0,0,1
46.28,0,0,0,1
46.32,0,0,0,1
46.36,0,0,0,1
46.40,0,0,0,1
46.44,0,0,0,1
46.48,0,0,0,0
